example_id,text,context,true_label,num_models_correct,num_models_wrong,num_FN,num_FP,models_wrong,models_correct,pred_tfidf_logreg_context_original,pred_tfidf_logreg_context_normalized,pred_tfidf_logreg_text_original,pred_tfidf_logreg_text_normalized,pred_tfidf_svm_context_original,pred_tfidf_svm_context_normalized,pred_tfidf_svm_text_original,pred_tfidf_svm_text_normalized,pred_xlmr_finetuned_context,pred_xlmr_finetuned_no_context,pred_deberta_finetuned_context,pred_deberta_finetuned_no_context,pred_gemma2_9b_context,pred_gemma2_9b_no_context,pred_qwen2.5_14b_context,pred_qwen2.5_14b_no_context,pred_phi3_medium_context,pred_phi3_medium_no_context
27,"RACHEL: All right, let's do it.","MONICA: Rachel, I have not missed one question the whole game. I own this game! Look at my hand. | RACHEL: Why? Do you have the answers written on there? | MONICA: No! Steady as a rock! Now, are you with me.",0,18,0,0,0,None,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,RACHEL: You're gonna have to tell me how you did that.,"PERSON: Oh good, you're here. Yeah, and I was worried that it was going to be uncomfortable. | RACHEL: I know Mona, just hear me out. First of all, I'm so sorry about my father yelling at you, but I heard you totally held your own.",0,17,1,0,1,qwen2.5_14b_context,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,"AMY: Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.","SHELDON: All right. | SHELDON: I'm no stranger to a little gray matter. | SHELDON: Locus coeruleus. | SHELDON: Locus coeruleus. | AMY: You're getting warmer-- it is, indeed, in the brain.",1,16,2,2,0,"xlmr_finetuned_no_context, deberta_finetuned_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
16,"CHANDLER: If that doesn't keep kids in school, what will?","RACHEL: Two week straight and she hasn't smoked since. | MONICA: So how did you guys meet? | PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. | PERSON2: And he was my best student. | PERSON1: Yes she was my best teacher.",1,16,2,2,0,"tfidf_svm_context_original, xlmr_finetuned_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
19,CHANDLER: Oh tons. I am quite the woodsman.,"CHANDLER: Okay, lets find these birds. | JOEY: Wait wait, you hear that? There are in the table? | CHANDLER: That can't be good | JOEY: We have to get them out of there | CHANDLER: how? | JOEY: Maybe we can lure them out, you know of any bird calls?",1,16,2,2,0,"xlmr_finetuned_context, deberta_finetuned_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_no_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
10,LEONARD: What did you mean when you said you were going to miss me?,"PENNY: What time is it? | LEONARD: It's 7:00 a.m. I'm sorry it's early, but we're leaving soon, and I needed to talk to you.",0,15,3,0,3,"deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
24,PHOEBE: Uh-huh!,"JOEY: Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again. And-and I promise, I won't touch a guitar until you say I'm ready. You really think I'm ready?",0,15,3,0,3,"deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
5,"LEONARD: Also instead of just living in your mother's house, you could actually live inside her body.","SHELDON: Wrong. Leonard? | LEONARD: Horse, but mostly just for the height. | LEONARD: A little bit for the genital girth. | SHELDON: Wrong, and let's keep it clean, shall we? | HOWARD: Kangaroo, uh, I'd be Kanga-Jew. | HOWARD: The first of my people to dunk a basketball.",1,15,3,3,0,"xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
6,PENNY: I hope I'm a waitress at the Cheesecake Factory for my whole life.,"SHELDON: Ask me why. | LEONARD: Do I have to? | SHELDON: Of course. That's how you move a conversation forward. | LEONARD: Why? | SHELDON: The learning opportunities would be abundant. | SHELDON: Additionally, I like having my belly scratched.",1,15,3,3,0,"xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
22,"ROSS: He's right, even if it's to say something complementary.","ROSS: Oh. | PHOEBE: Please, right now, no, every time I see him it's like  'Is it on the lose?'  'Is it watching me?' | CHANDLER: We can't tell him, you can't go up to a guy you barely know and talk about his.... stuff.",0,14,4,0,4,"deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
15,CHANDLER: Yeah either that or gloria estefan was right eventually the rhythm is going to get you,"JOEY: Oh Mommy, Oh Daddy, I am a big ol Baddy. | ROSS: I guess he must have gotten the part in the play.",1,14,4,4,0,"tfidf_logreg_text_normalized, xlmr_finetuned_no_context, qwen2.5_14b_no_context, phi3_medium_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, phi3_medium_context",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
18,CHANDLER: Well thank God your livelihood doesn't depend on it.,"CHANDLER: Hey, I need you to set me up for a joke. Later when Monica is around I need you to ask me about firetrucks | JOEY: I don't know Chandler, I am not so good with remembering lines.",1,14,4,4,0,"tfidf_logreg_context_normalized, tfidf_logreg_text_normalized, tfidf_svm_context_normalized, tfidf_svm_text_normalized","tfidf_logreg_context_original, tfidf_logreg_text_original, tfidf_svm_context_original, tfidf_svm_text_original, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
2,"HOWARD: I understand your point, but given a choice, Jews always go with Chinese food.","HOWARD: There's a 39.95 lover's special at P.F. Chang's. | HOWARD: Egg rolls, dumplings, bottomless wok, and you get your picture taken on the big marble horse out front. | SHELDON: Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder?",1,13,5,5,0,"tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, deberta_finetuned_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1
21,"CHANDLER: Well, it will probably slow me down at first. But once I am used to the extra weight, I ll get back on track.","JOEY: Oh no no, that's the beauty of it, it goes with everything. You put this on, you are good to go! | CHANDLER: Hell I have never been good to go, so, what the hell why not try some jewellery huh? | JOEY: Oh man! You are so wearing that bracelet! | CHANDLER: I so am | JOEY: You have any idea what this will do to your sex life?",1,13,5,5,0,"xlmr_finetuned_context, deberta_finetuned_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_no_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0
11,HOWARD: Let's not talk about this in front of our friends.,"BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? | HOWARD: For your information, I just bought the last one I needed on eBay. | BERNADETTE: Without asking me? | HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. | BERNADETTE: How much, Howie? | HOWARD: Not a lot. | BERNADETTE: How much?",0,12,6,0,6,"tfidf_logreg_context_normalized, tfidf_svm_context_normalized, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context","tfidf_logreg_context_original, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
7,HOWARD: It's why my people wandered the desert for 40 years. Took that long to walk it off.,PENNY: I don't think I've eaten that much in my entire life.,1,12,6,6,0,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, xlmr_finetuned_no_context","tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_text_normalized, xlmr_finetuned_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
20,"CHANDLER: Oh I see, I thought you just really really liked your new couch.","ROSS: Look I drew a sketch of how we are gonna do it ok? Rach, that's you, that's the couch | RACHEL: What's that? | ROSS: Oh, that's me. | RACHEL: Wow! Certainly think a lot of yourself. | ROSS: No, that's my arm.",1,12,6,6,0,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, xlmr_finetuned_context, deberta_finetuned_context","tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_no_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
25,MONICA: You had no relationship!!,"RACHEL: I just saw Danny getting on the subway with a girl and he had his arm around her. | MONICA: Oh, honey, I'm sorry. | RACHEL: Well, you should be, this is all your fault! You meddled in our relationship!!",0,11,7,0,7,"tfidf_logreg_context_normalized, tfidf_svm_context_normalized, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context","tfidf_logreg_context_original, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, phi3_medium_no_context",0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
14,"CHANDLER: Uh, so how many cameras are actually on you.","PERSON1: Where's Monica? | MONICA: Over here Dad | PERSON2: How to you zoom out? There she is | JOEY: Some girl ate Monica | MONICA: Shut up, the camera adds 10 pounds.",1,10,8,8,0,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_normalized, qwen2.5_14b_no_context, phi3_medium_no_context","tfidf_logreg_text_original, tfidf_svm_text_original, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, phi3_medium_context",0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0
13,AMY: I'm not saying that you're not fun. You're the most fun person I know.,"AMY: Your flaring nostrils indicate otherwise. | SHELDON: Cluck-cluck-cluck. | AMY: Sheldon, look at me.
I think it's time to face the fact that Leonard is the nucleus of your social group.
Where he goes, the group goes. | SHELDON: Leonard the nucleus? That makes no sense. | SHELDON: I'm the whimsical elf that everyone looks to for a good time.",0,9,9,0,9,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context","tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, phi3_medium_context, phi3_medium_no_context",1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0
26,"JOEY: Are you kidding? I love that guy!  Morning's here! Morning is here,",PERSON: HEY!! Do you Oh come on! Morning's here!  Morning's here! The morning is here! Sunshine is here! I,0,9,9,0,9,"tfidf_logreg_context_normalized, tfidf_logreg_text_normalized, tfidf_svm_context_normalized, tfidf_svm_text_normalized, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context","tfidf_logreg_context_original, tfidf_logreg_text_original, tfidf_svm_context_original, tfidf_svm_text_original, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, phi3_medium_context, phi3_medium_no_context",0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0
1,"PERSON: Kind of makes you feel more alive, doesn't it?","HOWARD: but wait to be captured or killed. | PERSON: That's the worst part, the waiting. | HOWARD: All the while knowing that there's a paint pellet out there with your name on it. | PERSON: The big wet ball of death.",1,9,9,9,0,"tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context, qwen2.5_14b_no_context, phi3_medium_no_context","tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, phi3_medium_context",1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0
17,"CHANDLER: Oh Oh, I am convinced!","RACHEL: What if you could keep the apartment and get the tickets. | JOEY: Done | RACHEL: Let me finish, talking about a bet, winner takes all | JOEY: We could end up with nothing. | PHOEBE: Or you could end up with everything | JOEY: I like that! | MONICA: So what do you say? | CHANDLER: No | MONICA: Just do it!",1,8,10,10,0,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_normalized, xlmr_finetuned_context, deberta_finetuned_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context","tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_text_original, xlmr_finetuned_no_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context",0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0
3,"HOWARD: Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""","RAJ: Buzz Lightyear is not real. | HOWARD: No, that's not what I'm talking about. | RAJ: Well, are you talking about when he thought he was real? | HOWARD: No | RAJ: Okay, um... how about ""Crash""? 
Howard ""Crash"" Wolowitz.",1,7,11,11,0,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_no_context","deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
12,"LEONARD: Technically, yes. But, if you'll notice... It's reversible!","LEONARD: Because it's not a costume, it's a flight suit. | PENNY: Ok, alright, moving on. | PENNY: Oh, wow. A paisley shirt. | LEONARD: It goes with my corduroy suit. | PENNY: If you mean it should end up in the same place, then I agree. | PENNY: Is this your only tie?",0,6,12,0,12,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context","xlmr_finetuned_context, deberta_finetuned_context, deberta_finetuned_no_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0
0,"PERSON: I don't know. Somebody bigger and... Yeah, sure. Why not you?","RAJ: Stupid Aquaman. | LEONARD: If it makes you feel any better, when I was dating Penny, she used to flip out on me all the time. | PERSON: Whoa. You dated Penny? | LEONARD: She didn't tell you? | PERSON: She told me she dated a guy named Leonard. | PERSON: Who would have thought it was you? | LEONARD: Who else would it be?",1,6,12,12,0,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context","gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
8,"RAJ: Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.","LEONARD: Do you really need the Honorary Justice League of American membership card? | SHELDON: It's been in every wallet I've owned since I was five. | LEONARD: Why? | SHELDON: It says, ""Keep this on your person at all times."" | SHELDON: It's right here under Batman's signature. | RAJ: and this is Leonard and Sheldon's apartment. | HOWARD: Guess whose parents just got broadband.",0,5,13,0,13,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_no_context, deberta_finetuned_context, deberta_finetuned_no_context, gemma2_9b_context, gemma2_9b_no_context","xlmr_finetuned_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
9,LEONARD: Don't you think looking for a new city to live in is a bit of an overreaction?,SHELDON: My new computer came with Windows 7. | SHELDON: Windows 7 is much more use r- friendly than Windows Vista. | SHELDON: I don't like that.,0,5,13,0,13,"tfidf_logreg_context_original, tfidf_logreg_context_normalized, tfidf_logreg_text_original, tfidf_logreg_text_normalized, tfidf_svm_context_original, tfidf_svm_context_normalized, tfidf_svm_text_original, tfidf_svm_text_normalized, xlmr_finetuned_context, deberta_finetuned_context, gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context","xlmr_finetuned_no_context, deberta_finetuned_no_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0
