example_id,text,context,true_label,pred_original,pred_normalized,correct_original,correct_normalized,flip_direction,tier,model_type,classifier,input_type,pooling,dataset
11,HOWARD: Let's not talk about this in front of our friends.,"BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? | HOWARD: For your information, I just bought the last one I needed on eBay. | BERNADETTE: Without asking me? | HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. | BERNADETTE: How much, Howie? | HOWARD: Not a lot. | BERNADETTE: How much?",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,context_text,NA,gold
18,CHANDLER: Well thank God your livelihood doesn't depend on it.,"CHANDLER: Hey, I need you to set me up for a joke. Later when Monica is around I need you to ask me about firetrucks | JOEY: I don't know Chandler, I am not so good with remembering lines.",1,1,0,1,0,norm_hurts,tier2,tfidf,logreg,context_text,NA,gold
25,MONICA: You had no relationship!!,"RACHEL: I just saw Danny getting on the subway with a girl and he had his arm around her. | MONICA: Oh, honey, I'm sorry. | RACHEL: Well, you should be, this is all your fault! You meddled in our relationship!!",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,context_text,NA,gold
26,"JOEY: Are you kidding? I love that guy!  Morning's here! Morning is here,",PERSON: HEY!! Do you Oh come on! Morning's here!  Morning's here! The morning is here! Sunshine is here! I,0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,context_text,NA,gold
0,"CHANDLER: Oh yeah he has a caretaker his older brother, Ernie. You can't make this stuff up!",JOEY: Helo! Anybody in there order a celebrity? | PERSON: What was that? | CHANDLER: Oh he is just a crazy guy who roams the halls here. He is great with kids though! | PERSON: Is he alright out there by himself?,0,1,0,0,1,norm_helps,tier2,tfidf,logreg,context_text,NA,test
5,"CHANDLER: Oh my god, you almost gave me a heart attack!","CHANDLER: Okay, I am officially unpacked. Thanks for helping me man. Joey?",1,1,0,1,0,norm_hurts,tier2,tfidf,logreg,context_text,NA,test
11,"CHANDLER: Yes, I know, but her friend sounds like such a...","JOEY: Oh, uh, listen, about tonight... | CHANDLER: No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend.",0,1,0,0,1,norm_helps,tier2,tfidf,logreg,context_text,NA,test
14,ROSS: We- we had our first fight this morning.,MONICA: Do you always have to bring him here? | ROSS: I didn't wanna leave him alone. Alright?,0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,context_text,NA,test
23,"MONICA: No its not big, not at all. Kind of the same lines as, I don't know, having a third nipple!",MONICA: You are dead meat | CHANDLER: I didn't know it was a big secret.,1,0,1,0,1,norm_helps,tier2,tfidf,logreg,context_text,NA,test
24,"PERSON1: I wasn't by myself. I had a doctor, a nurse, and a helper guy. So, did you see who won the game?","PERSON2: Your mom called me. So is this her? | PERSON1: No, this is a loaner. | PERSON2: I'm sorry you had to do this by yourself.",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,context_text,NA,test
50,"JOEY: It's white plastic, with a handle, and it fits onto a stroller.","CHANDLER: I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus. | JOEY: Hi, here's the deal. We lost a carseat on a bus today.",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,context_text,NA,test
55,"CHANDLER: Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio","JOEY: That's the rule. | CHANDLER: What rule? There's no rule, if anything, you owe me a table! | JOEY: How'd you get to that?",0,1,0,0,1,norm_helps,tier2,tfidf,logreg,context_text,NA,test
14,"CHANDLER: Uh, so how many cameras are actually on you.","PERSON1: Where's Monica? | MONICA: Over here Dad | PERSON2: How to you zoom out? There she is | JOEY: Some girl ate Monica | MONICA: Shut up, the camera adds 10 pounds.",1,0,1,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,gold
15,CHANDLER: Yeah either that or gloria estefan was right eventually the rhythm is going to get you,"JOEY: Oh Mommy, Oh Daddy, I am a big ol Baddy. | ROSS: I guess he must have gotten the part in the play.",1,0,1,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,gold
16,"CHANDLER: If that doesn't keep kids in school, what will?","RACHEL: Two week straight and she hasn't smoked since. | MONICA: So how did you guys meet? | PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. | PERSON2: And he was my best student. | PERSON1: Yes she was my best teacher.",1,0,1,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,gold
0,"CHANDLER: Oh yeah he has a caretaker his older brother, Ernie. You can't make this stuff up!",JOEY: Helo! Anybody in there order a celebrity? | PERSON: What was that? | CHANDLER: Oh he is just a crazy guy who roams the halls here. He is great with kids though! | PERSON: Is he alright out there by himself?,0,1,0,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,test
3,"BERNADETTE: Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.","PENNY: I don't suppose you also brought napkins, clean bowls, utensils and a roll of toilet paper. | BERNADETTE: Right here. | PENNY: You guys are the best. | AMY: What's with the clothes? | PENNY: Well, with all the new stuff I bought for work, I needed to make room in my closet. | AMY: I meant why are they folded? 
But whatever. | AMY: Ooh, what's this? | PENNY: That, believe it or not, is my prom dress.",1,1,0,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
6,JOEY: It's that whole sensitive thing.,"JOEY: It's gonna be worth it. It's a known fact that women love babies, all right? Women love guys who love babies.",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
7,"CHANDLER: And then and then you clicked it again, she's dressed. She is a business woman, she is walking down the street and oh oh oh she's naked.","RACHEL: Did you have fun at the bachelor's party last night? | CHANDLER: Oh yeah, look what I got, she is fully dressed right. And then you click it and oh oh she naked.",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
9,SHELDON: It's just a privilege to watch your mind at work.,LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang. | SHELDON: My apologies. What's your plan?,1,1,0,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
11,"CHANDLER: Yes, I know, but her friend sounds like such a...","JOEY: Oh, uh, listen, about tonight... | CHANDLER: No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend.",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
13,"PERSON: Take your shirt off, and let's see what we're dealing with here.  What are you doing?",ROSS: Just your run-of-the-mill third nipple. You can take it off. Just slice that baby right off!,0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
14,ROSS: We- we had our first fight this morning.,MONICA: Do you always have to bring him here? | ROSS: I didn't wanna leave him alone. Alright?,0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
17,HOWARD: Why don't you keep that stuff in the bathroom?,"RAJ: That's a great idea. I'm going to get him to sign a Batman as well. | SHELDON: What is it about the word ""unique"" you don't understand? | HOWARD: Damn, paper cut. Nothing worse than a paper cut. | RAJ: Well, obviously you don't remember your circumcision. | SHELDON: There's Neosporin and Band-Aids in my top desk drawer.",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
20,"HOWARD: You're right, the party's fantastic. Please, tell me more. I haven't heard enough about it all week because hearing about that never gets old!","SHELDON: It was a compromise. I lost. | RAJ: Can you believe Stuart's walking around taking credit for this party? | HOWARD: Who cares? | RAJ: What do you mean ""who cares""? Look at what I pulled off here.
The deejay's on fire, there's a Tardis photo booth in the back room, and, oh, my God, the food! | RAJ: Stuart wanted Kraft Draculoni and cheese.",1,0,1,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,test
22,"LEONARD: Come on, let's just start walking. There's got to be a gas station or something nearby.","SHELDON: What if we were to get in a car with a crazy person? | LEONARD: Look at us, Sheldon.
We're the crazy people. | SHELDON: Well, perhaps we should hold up a sign that assures passing motorists of our mental competence. | HOWARD: Good idea.
Why don't you get started on that?",0,1,0,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,test
23,"MONICA: No its not big, not at all. Kind of the same lines as, I don't know, having a third nipple!",MONICA: You are dead meat | CHANDLER: I didn't know it was a big secret.,1,1,0,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
24,"PERSON1: I wasn't by myself. I had a doctor, a nurse, and a helper guy. So, did you see who won the game?","PERSON2: Your mom called me. So is this her? | PERSON1: No, this is a loaner. | PERSON2: I'm sorry you had to do this by yourself.",0,1,0,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,test
25,DOROTHY: Lords of Arabia,"DOROTHY: Well ofcourse Blanche , they did it in that movie. | ROSE: What movie?",1,1,0,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
32,LEONARD: We might be starting to zero in on your problem.,"BERNADETTE: Are you guys doing okay? | HOWARD: Leonard and I are fine, but I think Raj needs to meet a girl really soon. | BERNADETTE: Well, that shouldn't be too hard. He's such a cutie. | RAJ: Thank you, but ""cute"" is for bunnies. I want to be something with sex appeal, like... like a labradoodle.
Labradoodle?",1,0,1,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,test
35,LEONARD: And I'm cool with surprises. But nothing on a Jumbotron. I don't want to cry on a big screen like that.,"LEONARD: But if someday you decide you want to get married, you have to propose to me. | PENNY: Really? | LEONARD: Yes. It's all on you. | LEONARD: But I got to tell you, when the time comes, I want the whole nine yards. | LEONARD: I want you down on one knee, flowers.
I want to be swept off my feet. | PENNY: Yeah, you got it.",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
40,PHOEBE: That oughta do it.,"RACHEL: Where's Chandler? | PHOEBE: Oh, he needed some time to grieve. | CHANDLER: I'm free! I'm free!",0,1,0,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,test
41,SHELDON: No. The dark crescent-shaped patterns under your arms conceal it nicely.,LEONARD: How do I look? | SHELDON: Could you be more specific? | LEONARD: Can you tell I'm perspiring a little?,1,1,0,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
43,"PENNY: No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.","LEONARD: This isn't so bad. | SHELDON: That's easy for you to say. 
Your chair's not facing the lingerie section. | SHELDON: Boy, that's a lot of panties. | AMY: You guys comfy? This might take a while. | SHELDON: You know, I don't understand why women insist on making a big production out of buying clothes.",1,1,0,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
48,PHOEBE: I know but it's so hard! Nothing rhymes with your stupid name!,"RACHEL: Pheebs, that's great! | PHOEBE: Oh, yay! | RACHEL: But y'know umm, Rachel doesn't rhyme with draddle.",0,0,1,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
52,"AMY: Saying that while holding a snowflake is a bit heavy-handed, don't you think?","BERNADETTE: Um, no. | AMY: You should get one. | BERNADETTE: What's that? | AMY: It appears to be something preserved between two pieces of acrylic. | PENNY: Oh, it's a snowflake from the North Pole. Leonard gave it to me last year. | BERNADETTE: Oh, God, that is so romantic. | PENNY: Yeah, it was. | BERNADETTE: Leonard's really one of a kind.",1,0,1,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,test
55,"CHANDLER: Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio","JOEY: That's the rule. | CHANDLER: What rule? There's no rule, if anything, you owe me a table! | JOEY: How'd you get to that?",0,1,0,0,1,norm_helps,tier2,tfidf,logreg,text_only,NA,test
57,CHANDLER: No thanks Josephine!,"JOEY: Hey Chandler!, come on in we are knitting pot holders.",1,1,0,1,0,norm_hurts,tier2,tfidf,logreg,text_only,NA,test
11,HOWARD: Let's not talk about this in front of our friends.,"BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? | HOWARD: For your information, I just bought the last one I needed on eBay. | BERNADETTE: Without asking me? | HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. | BERNADETTE: How much, Howie? | HOWARD: Not a lot. | BERNADETTE: How much?",0,0,1,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,gold
16,"CHANDLER: If that doesn't keep kids in school, what will?","RACHEL: Two week straight and she hasn't smoked since. | MONICA: So how did you guys meet? | PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. | PERSON2: And he was my best student. | PERSON1: Yes she was my best teacher.",1,0,1,0,1,norm_helps,tier2,tfidf,svm,context_text,NA,gold
18,CHANDLER: Well thank God your livelihood doesn't depend on it.,"CHANDLER: Hey, I need you to set me up for a joke. Later when Monica is around I need you to ask me about firetrucks | JOEY: I don't know Chandler, I am not so good with remembering lines.",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,gold
25,MONICA: You had no relationship!!,"RACHEL: I just saw Danny getting on the subway with a girl and he had his arm around her. | MONICA: Oh, honey, I'm sorry. | RACHEL: Well, you should be, this is all your fault! You meddled in our relationship!!",0,0,1,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,gold
26,"JOEY: Are you kidding? I love that guy!  Morning's here! Morning is here,",PERSON: HEY!! Do you Oh come on! Morning's here!  Morning's here! The morning is here! Sunshine is here! I,0,0,1,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,gold
0,"CHANDLER: Oh yeah he has a caretaker his older brother, Ernie. You can't make this stuff up!",JOEY: Helo! Anybody in there order a celebrity? | PERSON: What was that? | CHANDLER: Oh he is just a crazy guy who roams the halls here. He is great with kids though! | PERSON: Is he alright out there by himself?,0,1,0,0,1,norm_helps,tier2,tfidf,svm,context_text,NA,test
2,"CHANDLER: Well, y'know I'm 29. I mean who needs a savings account.","JOEY: Well, you're amazing. | CHANDLER: Oh no-no-no. | JOEY: A TV as if it appears from nowhere! That's the dream! Man, how did you afford this stuff?",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,test
5,"CHANDLER: Oh my god, you almost gave me a heart attack!","CHANDLER: Okay, I am officially unpacked. Thanks for helping me man. Joey?",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,test
11,"CHANDLER: Yes, I know, but her friend sounds like such a...","JOEY: Oh, uh, listen, about tonight... | CHANDLER: No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend.",0,1,0,0,1,norm_helps,tier2,tfidf,svm,context_text,NA,test
18,"ROSS: The big deal is I don't want naked, greasy strangers in my apartment when I want to kick back with a puzzle,beer! Cold beer.","PHOEBE: Okay, well Ross, what is this really about? | ROSS: Look, this is my home and I want to be able to come and go whenever I want! | PHOEBE: Okay, I will find someplace else to do the rest of my appointments. I just don't know what the big deal is!",0,0,1,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,test
20,"HOWARD: You're right, the party's fantastic. Please, tell me more. I haven't heard enough about it all week because hearing about that never gets old!","SHELDON: It was a compromise. I lost. | RAJ: Can you believe Stuart's walking around taking credit for this party? | HOWARD: Who cares? | RAJ: What do you mean ""who cares""? Look at what I pulled off here.
The deejay's on fire, there's a Tardis photo booth in the back room, and, oh, my God, the food! | RAJ: Stuart wanted Kraft Draculoni and cheese.",1,0,1,0,1,norm_helps,tier2,tfidf,svm,context_text,NA,test
24,"PERSON1: I wasn't by myself. I had a doctor, a nurse, and a helper guy. So, did you see who won the game?","PERSON2: Your mom called me. So is this her? | PERSON1: No, this is a loaner. | PERSON2: I'm sorry you had to do this by yourself.",0,0,1,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,test
50,"JOEY: It's white plastic, with a handle, and it fits onto a stroller.","CHANDLER: I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus. | JOEY: Hi, here's the deal. We lost a carseat on a bus today.",0,0,1,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,test
54,HOWARD: On a dusty highway just outside Bakersfield. Where do you think? On Mars!,"SHELDON: Will you at least stipulate that Star Trek IV: The Voyage Home is inarguably the best? | RAJ: I have three words for you: Wrath of Khan. | HOWARD: Thank God, you're here. | LEONARD: What's the emergency? | HOWARD: I got the Mars Rover stuck in a ditch. | SHELDON: Where?",1,0,1,0,1,norm_helps,tier2,tfidf,svm,context_text,NA,test
55,"CHANDLER: Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio","JOEY: That's the rule. | CHANDLER: What rule? There's no rule, if anything, you owe me a table! | JOEY: How'd you get to that?",0,1,0,0,1,norm_helps,tier2,tfidf,svm,context_text,NA,test
58,"HOWARD: That's got to be fun for you, huh? Watching Hofstadter suck the saliva out of your sister's mouth?","SHELDON: The audible sigh is a show of exasperation, right? | LEONARD: Right. | SHELDON: Is it about me or the dead pixels? | RAJ: Hey, you're just in time. We made Tex-Mex. | LEONARD: Oh, sounds great. | SHELDON: Oh, Indians making Tex-Mex. | SHELDON: Might as well have had the Chinese pizza. | PERSON: Hey, you.",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,test
65,SHELDON: It's an iCal download. She can put it right in her phone.,"PENNY: Alright, want some French toast? | SHELDON: It's oatmeal day. | PENNY: Tell you what, next French toast day, I'll make you oatmeal. | SHELDON: Dear Lord, are you still going to be here on French toast day? | LEONARD: Morning. | SHELDON: Look, Leonard, Penny made French toast. | LEONARD: Sorry, I haven't given her your schedule yet.",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,context_text,NA,test
0,"PERSON: I don't know. Somebody bigger and... Yeah, sure. Why not you?","RAJ: Stupid Aquaman. | LEONARD: If it makes you feel any better, when I was dating Penny, she used to flip out on me all the time. | PERSON: Whoa. You dated Penny? | LEONARD: She didn't tell you? | PERSON: She told me she dated a guy named Leonard. | PERSON: Who would have thought it was you? | LEONARD: Who else would it be?",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,gold
1,"PERSON: Kind of makes you feel more alive, doesn't it?","HOWARD: but wait to be captured or killed. | PERSON: That's the worst part, the waiting. | HOWARD: All the while knowing that there's a paint pellet out there with your name on it. | PERSON: The big wet ball of death.",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,gold
4,"AMY: Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.","SHELDON: All right. | SHELDON: I'm no stranger to a little gray matter. | SHELDON: Locus coeruleus. | SHELDON: Locus coeruleus. | AMY: You're getting warmer-- it is, indeed, in the brain.",1,0,1,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,gold
7,HOWARD: It's why my people wandered the desert for 40 years. Took that long to walk it off.,PENNY: I don't think I've eaten that much in my entire life.,1,0,1,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,gold
11,HOWARD: Let's not talk about this in front of our friends.,"BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? | HOWARD: For your information, I just bought the last one I needed on eBay. | BERNADETTE: Without asking me? | HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. | BERNADETTE: How much, Howie? | HOWARD: Not a lot. | BERNADETTE: How much?",0,1,0,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,gold
13,AMY: I'm not saying that you're not fun. You're the most fun person I know.,"AMY: Your flaring nostrils indicate otherwise. | SHELDON: Cluck-cluck-cluck. | AMY: Sheldon, look at me.
I think it's time to face the fact that Leonard is the nucleus of your social group.
Where he goes, the group goes. | SHELDON: Leonard the nucleus? That makes no sense. | SHELDON: I'm the whimsical elf that everyone looks to for a good time.",0,1,0,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,gold
16,"CHANDLER: If that doesn't keep kids in school, what will?","RACHEL: Two week straight and she hasn't smoked since. | MONICA: So how did you guys meet? | PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. | PERSON2: And he was my best student. | PERSON1: Yes she was my best teacher.",1,0,1,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,gold
18,CHANDLER: Well thank God your livelihood doesn't depend on it.,"CHANDLER: Hey, I need you to set me up for a joke. Later when Monica is around I need you to ask me about firetrucks | JOEY: I don't know Chandler, I am not so good with remembering lines.",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,gold
20,"CHANDLER: Oh I see, I thought you just really really liked your new couch.","ROSS: Look I drew a sketch of how we are gonna do it ok? Rach, that's you, that's the couch | RACHEL: What's that? | ROSS: Oh, that's me. | RACHEL: Wow! Certainly think a lot of yourself. | ROSS: No, that's my arm.",1,0,1,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,gold
26,"JOEY: Are you kidding? I love that guy!  Morning's here! Morning is here,",PERSON: HEY!! Do you Oh come on! Morning's here!  Morning's here! The morning is here! Sunshine is here! I,0,0,1,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,gold
0,"CHANDLER: Oh yeah he has a caretaker his older brother, Ernie. You can't make this stuff up!",JOEY: Helo! Anybody in there order a celebrity? | PERSON: What was that? | CHANDLER: Oh he is just a crazy guy who roams the halls here. He is great with kids though! | PERSON: Is he alright out there by himself?,0,0,1,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,test
2,"CHANDLER: Well, y'know I'm 29. I mean who needs a savings account.","JOEY: Well, you're amazing. | CHANDLER: Oh no-no-no. | JOEY: A TV as if it appears from nowhere! That's the dream! Man, how did you afford this stuff?",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,test
5,"CHANDLER: Oh my god, you almost gave me a heart attack!","CHANDLER: Okay, I am officially unpacked. Thanks for helping me man. Joey?",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,test
9,SHELDON: It's just a privilege to watch your mind at work.,LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang. | SHELDON: My apologies. What's your plan?,1,0,1,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,test
11,"CHANDLER: Yes, I know, but her friend sounds like such a...","JOEY: Oh, uh, listen, about tonight... | CHANDLER: No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend.",0,1,0,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,test
14,ROSS: We- we had our first fight this morning.,MONICA: Do you always have to bring him here? | ROSS: I didn't wanna leave him alone. Alright?,0,1,0,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,test
17,HOWARD: Why don't you keep that stuff in the bathroom?,"RAJ: That's a great idea. I'm going to get him to sign a Batman as well. | SHELDON: What is it about the word ""unique"" you don't understand? | HOWARD: Damn, paper cut. Nothing worse than a paper cut. | RAJ: Well, obviously you don't remember your circumcision. | SHELDON: There's Neosporin and Band-Aids in my top desk drawer.",0,1,0,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,test
22,"LEONARD: Come on, let's just start walking. There's got to be a gas station or something nearby.","SHELDON: What if we were to get in a car with a crazy person? | LEONARD: Look at us, Sheldon.
We're the crazy people. | SHELDON: Well, perhaps we should hold up a sign that assures passing motorists of our mental competence. | HOWARD: Good idea.
Why don't you get started on that?",0,0,1,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,test
23,"MONICA: No its not big, not at all. Kind of the same lines as, I don't know, having a third nipple!",MONICA: You are dead meat | CHANDLER: I didn't know it was a big secret.,1,0,1,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,test
24,"PERSON1: I wasn't by myself. I had a doctor, a nurse, and a helper guy. So, did you see who won the game?","PERSON2: Your mom called me. So is this her? | PERSON1: No, this is a loaner. | PERSON2: I'm sorry you had to do this by yourself.",0,0,1,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,test
31,"PERSON3: I'm sorry, Sheldon bought a loom and learned how to weave?","PERSON1: Baby, you're not that kind | PERSON1: Don't go breaking my heart | PERSON2: Anybody do ""Walking on Sunshine"" yet? | SHELDON: No | PERSON2: Dibs.",0,0,1,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,test
32,LEONARD: We might be starting to zero in on your problem.,"BERNADETTE: Are you guys doing okay? | HOWARD: Leonard and I are fine, but I think Raj needs to meet a girl really soon. | BERNADETTE: Well, that shouldn't be too hard. He's such a cutie. | RAJ: Thank you, but ""cute"" is for bunnies. I want to be something with sex appeal, like... like a labradoodle.
Labradoodle?",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,test
35,LEONARD: And I'm cool with surprises. But nothing on a Jumbotron. I don't want to cry on a big screen like that.,"LEONARD: But if someday you decide you want to get married, you have to propose to me. | PENNY: Really? | LEONARD: Yes. It's all on you. | LEONARD: But I got to tell you, when the time comes, I want the whole nine yards. | LEONARD: I want you down on one knee, flowers.
I want to be swept off my feet. | PENNY: Yeah, you got it.",0,1,0,0,1,norm_helps,tier2,tfidf,svm,text_only,NA,test
38,"RACHEL: This-this, no, oh no, no-no-no, this is not,that's-that's not what it is.","RACHEL: Ohh! It's so nice to meet you.  Hello. Hello. | PERSON: Well, Joshua, that 500 was for groceries. | RACHEL: What?",0,0,1,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,test
39,DOROTHY: Show them your slides of Hawaii,"ROSE: Wait donÕt leave me, what will I do if they come back?",1,1,0,1,0,norm_hurts,tier2,tfidf,svm,text_only,NA,test
